,arquivo,classe,objecto,repeticao,fundo,iluminacao,local,resolucao,tamanho
54,20210417_154640.jpg,xícara,coffee,1,branco_2,dia,interno,2560x1440,1031366.0
55,20210417_154641.jpg,xícara,coffee,2,branco_2,dia,interno,2560x1440,1013065.0
56,20210417_154642.jpg,xícara,coffee,3,branco_2,dia,interno,2560x1440,1037794.0
57,20210417_154649.jpg,xícara,amiga,1,branco_2,dia,interno,2560x1440,1012247.0
58,20210417_154650.jpg,xícara,amiga,2,branco_2,dia,interno,2560x1440,1029740.0
59,20210417_154652.jpg,xícara,amiga,3,branco_2,dia,interno,2560x1440,1023651.0
60,20210417_155102(0).jpg,óculos,óculos dior,1,magenta,dia,interno,2560x1440,1598346.0
61,20210417_155102.jpg,óculos,óculos dior,2,magenta,dia,interno,2560x1440,1389414.0
62,20210417_155103.jpg,óculos,óculos dior,3,magenta,dia,interno,2560x1440,1362459.0
63,20210417_155112(0).jpg,óculos,óculos gucci,1,magenta,dia,interno,2560x1440,1424886.0
64,20210417_155112.jpg,óculos,óculos gucci,2,magenta,dia,interno,2560x1440,1422718.0
65,20210417_155113.jpg,óculos,óculos gucci,3,magenta,dia,interno,2560x1440,1336815.0
66,20210417_155119.jpg,óculos,óculos valentino,1,magenta,dia,interno,2560x1440,1460669.0
67,20210417_155120.jpg,óculos,óculos valentino,2,magenta,dia,interno,2560x1440,1335725.0
68,20210417_155121.jpg,óculos,óculos valentino,3,magenta,dia,interno,2560x1440,1306108.0
69,20210417_155128.jpg,óculos,óculos prada,1,magenta,dia,interno,2560x1440,1331210.0
70,20210417_155129(0).jpg,óculos,óculos prada,2,magenta,dia,interno,2560x1440,1385137.0
71,20210417_155129.jpg,óculos,óculos prada,3,magenta,dia,interno,2560x1440,1543799.0
72,20210417_155142(0).jpg,óculos,óculos cavalli,1,magenta,dia,interno,2560x1440,1499237.0
73,20210417_155142.jpg,óculos,óculos cavalli,2,magenta,dia,interno,2560x1440,1371650.0
74,20210417_155143.jpg,óculos,óculos cavalli,3,magenta,dia,interno,2560x1440,1302488.0
75,20210417_155224.jpg,necessaire,listrada,1,magenta,dia,interno,2560x1440,1680393.0
76,20210417_155225.jpg,necessaire,listrada,2,magenta,dia,interno,2560x1440,1603648.0
77,20210417_155226.jpg,necessaire,listrada,3,magenta,dia,interno,2560x1440,1683187.0
78,20210417_155234(0).jpg,necessaire,estrela,1,magenta,dia,interno,2560x1440,1251206.0
79,20210417_155234.jpg,necessaire,estrela,2,magenta,dia,interno,2560x1440,1308387.0
80,20210417_155235.jpg,necessaire,estrela,3,magenta,dia,interno,2560x1440,1428774.0
81,20210417_155248.jpg,necessaire,vermelha,1,magenta,dia,interno,2560x1440,1502089.0
82,20210417_155249.jpg,necessaire,vermelha,2,magenta,dia,interno,2560x1440,1522420.0
83,20210417_155250.jpg,necessaire,vermelha,3,magenta,dia,interno,2560x1440,1308395.0
84,20210417_155257.jpg,necessaire,creme,1,magenta,dia,interno,2560x1440,1385238.0
85,20210417_155258.jpg,necessaire,creme,2,magenta,dia,interno,2560x1440,1426197.0
86,20210417_155259.jpg,necessaire,creme,3,magenta,dia,interno,2560x1440,1306598.0
87,20210417_155321.jpg,colher,grande,1,magenta,dia,interno,2560x1440,1264904.0
88,20210417_155322(0).jpg,colher,grande,2,magenta,dia,interno,2560x1440,1273383.0
89,20210417_155322.jpg,colher,grande,3,magenta,dia,interno,2560x1440,1485216.0
90,20210417_155330(0).jpg,colher,média,1,magenta,dia,interno,2560x1440,1444090.0
91,20210417_155330.jpg,colher,média,2,magenta,dia,interno,2560x1440,1552757.0
92,20210417_155331.jpg,colher,média,3,magenta,dia,interno,2560x1440,1196113.0
93,20210417_155337.jpg,colher,média detalhe,1,magenta,dia,interno,2560x1440,1436521.0
94,20210417_155338(0).jpg,colher,média detalhe,2,magenta,dia,interno,2560x1440,1403699.0
95,20210417_155338.jpg,colher,média detalhe,3,magenta,dia,interno,2560x1440,1539657.0
96,20210417_155345(0).jpg,colher,rosa,1,magenta,dia,interno,2560x1440,1569919.0
97,20210417_155345.jpg,colher,rosa,2,magenta,dia,interno,2560x1440,1548139.0
98,20210417_155346.jpg,colher,rosa,3,magenta,dia,interno,2560x1440,1089752.0
99,20210417_155355.jpg,colher,preta,1,magenta,dia,interno,2560x1440,1390552.0
100,20210417_155356.jpg,colher,preta,2,magenta,dia,interno,2560x1440,1427603.0
101,20210417_155357.jpg,colher,preta,3,magenta,dia,interno,2560x1440,1102350.0
102,20210417_155415.jpg,xícara,bola,1,magenta,dia,interno,2560x1440,1421467.0
103,20210417_155416.jpg,xícara,bola,2,magenta,dia,interno,2560x1440,1392021.0
104,20210417_155417.jpg,xícara,bola,3,magenta,dia,interno,2560x1440,1353666.0
105,20210417_155424.jpg,xícara,sorrir,1,magenta,dia,interno,2560x1440,1363332.0
106,20210417_155425.jpg,xícara,sorrir,2,magenta,dia,interno,2560x1440,1454110.0
107,20210417_155426.jpg,xícara,sorrir,3,magenta,dia,interno,2560x1440,1206598.0
108,20210417_155433.jpg,xícara,azul,1,magenta,dia,interno,2560x1440,1312225.0
109,20210417_155434.jpg,xícara,azul,2,magenta,dia,interno,2560x1440,1326243.0
110,20210417_155435.jpg,xícara,azul,3,magenta,dia,interno,2560x1440,1454465.0
111,20210417_155441.jpg,xícara,flor,1,magenta,dia,interno,2560x1440,1314997.0
112,20210417_155442.jpg,xícara,flor,2,magenta,dia,interno,2560x1440,1431602.0
113,20210417_155443.jpg,xícara,flor,3,magenta,dia,interno,2560x1440,1368704.0
114,20210417_155449.jpg,xícara,coffee,1,magenta,dia,interno,2560x1440,1286629.0
115,20210417_155450.jpg,xícara,coffee,2,magenta,dia,interno,2560x1440,1394100.0
116,20210417_155451.jpg,xícara,coffee,3,magenta,dia,interno,2560x1440,1306890.0
117,20210417_155458.jpg,xícara,amiga,1,magenta,dia,interno,2560x1440,1361686.0
118,20210417_155459.jpg,xícara,amiga,2,magenta,dia,interno,2560x1440,1293706.0
119,20210417_155500.jpg,xícara,amiga,3,magenta,dia,interno,2560x1440,1325551.0
120,20210417_155822.jpg,óculos,óculos gucci,1,madeira,dia,interno,2560x1440,1341498.0
121,20210417_155823(0).jpg,óculos,óculos gucci,2,madeira,dia,interno,2560x1440,1289730.0
122,20210417_155823.jpg,óculos,óculos gucci,3,madeira,dia,interno,2560x1440,1340595.0
123,20210417_155832.jpg,óculos,óculos cavalli,1,madeira,dia,interno,2560x1440,1306671.0
124,20210417_155833.jpg,óculos,óculos cavalli,2,madeira,dia,interno,2560x1440,1401376.0
125,20210417_155834.jpg,óculos,óculos cavalli,3,madeira,dia,interno,2560x1440,1357843.0
126,20210417_155842.jpg,óculos,óculos prada,1,madeira,dia,interno,2560x1440,1313201.0
127,20210417_155843(0).jpg,óculos,óculos prada,2,madeira,dia,interno,2560x1440,1298530.0
128,20210417_155843.jpg,óculos,óculos prada,3,madeira,dia,interno,2560x1440,1288588.0
129,20210417_155857.jpg,óculos,óculos dior,1,madeira,dia,interno,2560x1440,1275401.0
130,20210417_155858.jpg,óculos,óculos dior,2,madeira,dia,interno,2560x1440,1302674.0
131,20210417_155859.jpg,óculos,óculos dior,3,madeira,dia,interno,2560x1440,1165022.0
132,20210417_155907(0).jpg,óculos,óculos valentino,1,madeira,dia,interno,2560x1440,1204824.0
133,20210417_155907.jpg,óculos,óculos valentino,2,madeira,dia,interno,2560x1440,1253041.0
134,20210417_155908.jpg,óculos,óculos valentino,3,madeira,dia,interno,2560x1440,1279781.0
135,20210417_160108.jpg,necessaire,creme,1,madeira,dia,interno,2560x1440,1300884.0
136,20210417_160109(0).jpg,necessaire,creme,2,madeira,dia,interno,2560x1440,1290318.0
137,20210417_160109.jpg,necessaire,creme,3,madeira,dia,interno,2560x1440,1275424.0
138,20210417_160120.jpg,necessaire,vermelha,1,madeira,dia,interno,2560x1440,1295864.0
139,20210417_160121.jpg,necessaire,vermelha,2,madeira,dia,interno,2560x1440,1396277.0
140,20210417_160122.jpg,necessaire,vermelha,3,madeira,dia,interno,2560x1440,1431426.0
141,20210417_160130.jpg,necessaire,estrela,1,madeira,dia,interno,2560x1440,1172416.0
142,20210417_160131.jpg,necessaire,estrela,2,madeira,dia,interno,2560x1440,1303822.0
143,20210417_160132.jpg,necessaire,estrela,3,madeira,dia,interno,2560x1440,1269335.0
144,20210417_160144.jpg,necessaire,listrada,1,madeira,dia,interno,2560x1440,1423271.0
145,20210417_160145(0).jpg,necessaire,listrada,2,madeira,dia,interno,2560x1440,1465871.0
146,20210417_160145.jpg,necessaire,listrada,3,madeira,dia,interno,2560x1440,1462303.0
147,20210417_160204.jpg,colher,preta,1,madeira,dia,interno,2560x1440,1351319.0
148,20210417_160205.jpg,colher,preta,2,madeira,dia,interno,2560x1440,1328008.0
149,20210417_160206.jpg,colher,preta,3,madeira,dia,interno,2560x1440,1353555.0
150,20210417_160214.jpg,colher,média,1,madeira,dia,interno,2560x1440,1317881.0
151,20210417_160215.jpg,colher,média,2,madeira,dia,interno,2560x1440,1311378.0
152,20210417_160216.jpg,colher,média,3,madeira,dia,interno,2560x1440,1332837.0
153,20210417_160222.jpg,colher,grande,1,madeira,dia,interno,2560x1440,1302820.0
154,20210417_160223.jpg,colher,grande,2,madeira,dia,interno,2560x1440,1310082.0
155,20210417_160224.jpg,colher,grande,3,madeira,dia,interno,2560x1440,1336435.0
156,20210417_160229.jpg,colher,rosa,1,madeira,dia,interno,2560x1440,1337147.0
157,20210417_160230(0).jpg,colher,rosa,2,madeira,dia,interno,2560x1440,1349453.0
158,20210417_160230.jpg,colher,rosa,3,madeira,dia,interno,2560x1440,1338577.0
159,20210417_160236.jpg,colher,média detalhe,1,madeira,dia,interno,2560x1440,1334397.0
160,20210417_160237.jpg,colher,média detalhe,2,madeira,dia,interno,2560x1440,1317668.0
161,20210417_160238.jpg,colher,média detalhe,3,madeira,dia,interno,2560x1440,1358275.0
162,20210417_160325.jpg,xícara,bola,1,madeira,dia,interno,2560x1440,1260608.0
163,20210417_160326.jpg,xícara,bola,2,madeira,dia,interno,2560x1440,1244724.0
164,20210417_160327.jpg,xícara,bola,3,madeira,dia,interno,2560x1440,1277826.0
165,20210417_160335.jpg,xícara,sorrir,1,madeira,dia,interno,2560x1440,1266688.0
166,20210417_160336(0).jpg,xícara,sorrir,2,madeira,dia,interno,2560x1440,1274482.0
167,20210417_160336.jpg,xícara,sorrir,3,madeira,dia,interno,2560x1440,1276235.0
168,20210417_160344.jpg,xícara,amiga,1,madeira,dia,interno,2560x1440,1241707.0
169,20210417_160345.jpg,xícara,amiga,2,madeira,dia,interno,2560x1440,1249597.0
170,20210417_160346.jpg,xícara,amiga,3,madeira,dia,interno,2560x1440,1242827.0
171,20210417_160354.jpg,xícara,coffee,1,madeira,dia,interno,2560x1440,1210586.0
172,20210417_160355.jpg,xícara,coffee,2,madeira,dia,interno,2560x1440,1245807.0
173,20210417_160356.jpg,xícara,coffee,3,madeira,dia,interno,2560x1440,1240745.0
174,20210417_160404(0).jpg,xícara,flor,1,madeira,dia,interno,2560x1440,1275410.0
175,20210417_160404.jpg,xícara,flor,2,madeira,dia,interno,2560x1440,1248441.0
176,20210417_160406.jpg,xícara,flor,3,madeira,dia,interno,2560x1440,1270828.0
177,20210417_160415.jpg,xícara,azul,1,madeira,dia,interno,2560x1440,1191978.0
178,20210417_160416.jpg,xícara,azul,2,madeira,dia,interno,2560x1440,1208784.0
179,20210417_160417.jpg,xícara,azul,3,madeira,dia,interno,2560x1440,1213046.0
180,20210417_160914.jpg,óculos,óculos dior,1,branco_2,dia,externo,2560x1440,869290.0
181,20210417_160915(0).jpg,óculos,óculos dior,2,branco_2,dia,externo,2560x1440,935843.0
182,20210417_160915.jpg,óculos,óculos dior,3,branco_2,dia,externo,2560x1440,971793.0
183,20210417_160932.jpg,óculos,óculos gucci,1,branco_2,dia,externo,2560x1440,951798.0
184,20210417_160933.jpg,óculos,óculos gucci,2,branco_2,dia,externo,2560x1440,957024.0
185,20210417_160934.jpg,óculos,óculos gucci,3,branco_2,dia,externo,2560x1440,977114.0
186,20210417_160945.jpg,óculos,óculos valentino,1,branco_2,dia,externo,2560x1440,970620.0
187,20210417_160946.jpg,óculos,óculos valentino,2,branco_2,dia,externo,2560x1440,982800.0
188,20210417_160947.jpg,óculos,óculos valentino,3,branco_2,dia,externo,2560x1440,898350.0
189,20210417_161015.jpg,óculos,óculos prada,1,branco_2,dia,externo,2560x1440,921552.0
190,20210417_161016.jpg,óculos,óculos prada,2,branco_2,dia,externo,2560x1440,938135.0
191,20210417_161017.jpg,óculos,óculos prada,3,branco_2,dia,externo,2560x1440,945476.0
192,20210417_161111.jpg,óculos,óculos cavalli,1,branco_2,dia,externo,2560x1440,911875.0
193,20210417_161112.jpg,óculos,óculos cavalli,2,branco_2,dia,externo,2560x1440,931144.0
194,20210417_161113.jpg,óculos,óculos cavalli,3,branco_2,dia,externo,2560x1440,933596.0
195,20210417_161212(0).jpg,necessaire,listrada,1,branco_2,dia,externo,2560x1440,1223452.0
196,20210417_161212.jpg,necessaire,listrada,2,branco_2,dia,externo,2560x1440,977848.0
197,20210417_161213.jpg,necessaire,listrada,3,branco_2,dia,externo,2560x1440,1178358.0
198,20210417_161243(0).jpg,necessaire,vermelha,1,branco_2,dia,externo,2560x1440,1060016.0
199,20210417_161243.jpg,necessaire,vermelha,2,branco_2,dia,externo,2560x1440,1010215.0
200,20210417_161244.jpg,necessaire,vermelha,3,branco_2,dia,externo,2560x1440,1028995.0
201,20210417_161255(0).jpg,necessaire,estrela,1,branco_2,dia,externo,2560x1440,1019604.0
202,20210417_161255.jpg,necessaire,estrela,2,branco_2,dia,externo,2560x1440,1034189.0
203,20210417_161256.jpg,necessaire,estrela,3,branco_2,dia,externo,2560x1440,999723.0
204,20210417_161305.jpg,necessaire,creme,1,branco_2,dia,externo,2560x1440,1048521.0
205,20210417_161306.jpg,necessaire,creme,2,branco_2,dia,externo,2560x1440,874308.0
206,20210417_161308.jpg,necessaire,creme,3,branco_2,dia,externo,2560x1440,1034753.0
207,20210417_161339.jpg,colher,grande,1,branco_2,dia,externo,2560x1440,932164.0
208,20210417_161340.jpg,colher,grande,2,branco_2,dia,externo,2560x1440,958220.0
209,20210417_161341.jpg,colher,grande,3,branco_2,dia,externo,2560x1440,962433.0
210,20210417_161349.jpg,colher,média,1,branco_2,dia,externo,2560x1440,922919.0
211,20210417_161350.jpg,colher,média,2,branco_2,dia,externo,2560x1440,956146.0
212,20210417_161351.jpg,colher,média,3,branco_2,dia,externo,2560x1440,1016410.0
213,20210417_161359.jpg,colher,média detalhe,1,branco_2,dia,externo,2560x1440,993676.0
214,20210417_161400.jpg,colher,média detalhe,2,branco_2,dia,externo,2560x1440,992204.0
215,20210417_161401.jpg,colher,média detalhe,3,branco_2,dia,externo,2560x1440,991442.0
216,20210417_161409.jpg,colher,rosa,1,branco_2,dia,externo,2560x1440,1079538.0
217,20210417_161410.jpg,colher,rosa,2,branco_2,dia,externo,2560x1440,970549.0
218,20210417_161411.jpg,colher,rosa,3,branco_2,dia,externo,2560x1440,1057220.0
219,20210417_161448.jpg,colher,preta,1,branco_2,dia,externo,2560x1440,997847.0
220,20210417_161449.jpg,colher,preta,2,branco_2,dia,externo,2560x1440,1005421.0
221,20210417_161450.jpg,colher,preta,3,branco_2,dia,externo,2560x1440,974570.0
222,20210417_161548.jpg,xícara,sorrir,1,branco_2,dia,externo,2560x1440,970894.0
223,20210417_161549.jpg,xícara,sorrir,2,branco_2,dia,externo,2560x1440,942006.0
224,20210417_161550.jpg,xícara,sorrir,3,branco_2,dia,externo,2560x1440,951424.0
225,20210417_161601.jpg,xícara,flor,1,branco_2,dia,externo,2560x1440,908343.0
226,20210417_161602.jpg,xícara,flor,2,branco_2,dia,externo,2560x1440,891883.0
227,20210417_161603.jpg,xícara,flor,3,branco_2,dia,externo,2560x1440,859088.0
228,20210417_161615.jpg,xícara,amiga,1,branco_2,dia,externo,2560x1440,859708.0
229,20210417_161616.jpg,xícara,amiga,2,branco_2,dia,externo,2560x1440,868926.0
230,20210417_161617.jpg,xícara,amiga,3,branco_2,dia,externo,2560x1440,879019.0
231,20210417_161629.jpg,xícara,coffee,1,branco_2,dia,externo,2560x1440,859510.0
232,20210417_161630.jpg,xícara,coffee,2,branco_2,dia,externo,2560x1440,863950.0
233,20210417_161631.jpg,xícara,coffee,3,branco_2,dia,externo,2560x1440,878571.0
234,20210417_161641.jpg,xícara,azul,1,branco_2,dia,externo,2560x1440,925590.0
235,20210417_161643.jpg,xícara,azul,2,branco_2,dia,externo,2560x1440,922919.0
236,20210417_161644.jpg,xícara,azul,3,branco_2,dia,externo,2560x1440,937262.0
237,20210417_161655.jpg,xícara,bola,1,branco_2,dia,externo,2560x1440,881722.0
238,20210417_161656.jpg,xícara,bola,2,branco_2,dia,externo,2560x1440,880455.0
239,20210417_161658.jpg,xícara,bola,3,branco_2,dia,externo,2560x1440,887329.0
240,20210417_162004(0).jpg,óculos,óculos dior,1,magenta,dia,externo,2560x1440,1717069.0
241,20210417_162004.jpg,óculos,óculos dior,2,magenta,dia,externo,2560x1440,1716861.0
242,20210417_162005.jpg,óculos,óculos dior,3,magenta,dia,externo,2560x1440,1772808.0
243,20210417_162014.jpg,óculos,óculos valentino,1,magenta,dia,externo,2560x1440,1731514.0
244,20210417_162015.jpg,óculos,óculos valentino,2,magenta,dia,externo,2560x1440,1774520.0
245,20210417_162016.jpg,óculos,óculos valentino,3,magenta,dia,externo,2560x1440,1716932.0
246,20210417_162026(0).jpg,óculos,óculos gucci,1,magenta,dia,externo,2560x1440,1794868.0
247,20210417_162026.jpg,óculos,óculos gucci,2,magenta,dia,externo,2560x1440,1685656.0
248,20210417_162027.jpg,óculos,óculos gucci,3,magenta,dia,externo,2560x1440,1779761.0
249,20210417_162035(0).jpg,óculos,óculos prada,1,magenta,dia,externo,2560x1440,1865109.0
250,20210417_162035.jpg,óculos,óculos prada,2,magenta,dia,externo,2560x1440,1993677.0
251,20210417_162036.jpg,óculos,óculos prada,3,magenta,dia,externo,2560x1440,1922780.0
252,20210417_162047.jpg,óculos,óculos cavalli,1,magenta,dia,externo,2560x1440,2019004.0
253,20210417_162048.jpg,óculos,óculos cavalli,2,magenta,dia,externo,2560x1440,1926881.0
254,20210417_162049.jpg,óculos,óculos cavalli,3,magenta,dia,externo,2560x1440,1896936.0
255,20210417_162505.jpg,necessaire,listrada,1,magenta,dia,externo,2560x1440,1632105.0
256,20210417_162506.jpg,necessaire,listrada,2,magenta,dia,externo,2560x1440,1521619.0
257,20210417_162507.jpg,necessaire,listrada,3,magenta,dia,externo,2560x1440,1572155.0
258,20210417_162517.jpg,necessaire,creme,1,magenta,dia,externo,2560x1440,1473202.0
259,20210417_162518.jpg,necessaire,creme,2,magenta,dia,externo,2560x1440,1377954.0
260,20210417_162519.jpg,necessaire,creme,3,magenta,dia,externo,2560x1440,1429650.0
261,20210417_162528.jpg,necessaire,estrela,1,magenta,dia,externo,2560x1440,1350048.0
262,20210417_162529.jpg,necessaire,estrela,2,magenta,dia,externo,2560x1440,1379932.0
263,20210417_162530.jpg,necessaire,estrela,3,magenta,dia,externo,2560x1440,1313594.0
264,20210417_162542.jpg,necessaire,vermelha,1,magenta,dia,externo,2560x1440,1494744.0
265,20210417_162543.jpg,necessaire,vermelha,2,magenta,dia,externo,2560x1440,2055813.0
266,20210417_162544.jpg,necessaire,vermelha,3,magenta,dia,externo,2560x1440,1923961.0
267,20210417_162636.jpg,colher,grande,1,magenta,dia,externo,2560x1440,1890104.0
268,20210417_162637.jpg,colher,grande,2,magenta,dia,externo,2560x1440,1881602.0
269,20210417_162638.jpg,colher,grande,3,magenta,dia,externo,2560x1440,1885588.0
270,20210417_162646.jpg,colher,média,1,magenta,dia,externo,2560x1440,1901168.0
271,20210417_162647.jpg,colher,média,2,magenta,dia,externo,2560x1440,1859334.0
272,20210417_162648.jpg,colher,média,3,magenta,dia,externo,2560x1440,1940594.0
273,20210417_162656(0).jpg,colher,média detalhe,1,magenta,dia,externo,2560x1440,2010156.0
274,20210417_162656.jpg,colher,média detalhe,2,magenta,dia,externo,2560x1440,1814266.0
275,20210417_162657.jpg,colher,média detalhe,3,magenta,dia,externo,2560x1440,2119066.0
276,20210417_162705.jpg,colher,rosa,1,magenta,dia,externo,2560x1440,1835733.0
277,20210417_162707.jpg,colher,rosa,2,magenta,dia,externo,2560x1440,1872190.0
278,20210417_162708.jpg,colher,rosa,3,magenta,dia,externo,2560x1440,1952389.0
279,20210417_162717.jpg,colher,preta,1,magenta,dia,externo,2560x1440,1934226.0
280,20210417_162718.jpg,colher,preta,2,magenta,dia,externo,2560x1440,1921157.0
281,20210417_162719.jpg,colher,preta,3,magenta,dia,externo,2560x1440,1848532.0
282,20210417_162804.jpg,xícara,azul,1,magenta,dia,externo,2560x1440,1466463.0
283,20210417_162805.jpg,xícara,azul,2,magenta,dia,externo,2560x1440,1593118.0
284,20210417_162806.jpg,xícara,azul,3,magenta,dia,externo,2560x1440,1541119.0
285,20210417_162817.jpg,xícara,sorrir,1,magenta,dia,externo,2560x1440,1471386.0
286,20210417_162818.jpg,xícara,sorrir,2,magenta,dia,externo,2560x1440,1464158.0
287,20210417_162819.jpg,xícara,sorrir,3,magenta,dia,externo,2560x1440,1513297.0
288,20210417_162827.jpg,xícara,bola,1,magenta,dia,externo,2560x1440,1551677.0
289,20210417_162828.jpg,xícara,bola,2,magenta,dia,externo,2560x1440,1467167.0
290,20210417_162829.jpg,xícara,bola,3,magenta,dia,externo,2560x1440,1461511.0
291,20210417_162837.jpg,xícara,amiga,1,magenta,dia,externo,2560x1440,1359330.0
292,20210417_162838.jpg,xícara,amiga,2,magenta,dia,externo,2560x1440,1360010.0
293,20210417_162839.jpg,xícara,amiga,3,magenta,dia,externo,2560x1440,1351107.0
294,20210417_162846.jpg,xícara,coffee,1,magenta,dia,externo,2560x1440,1367538.0
295,20210417_162847.jpg,xícara,coffee,2,magenta,dia,externo,2560x1440,1381308.0
296,20210417_162848.jpg,xícara,coffee,3,magenta,dia,externo,2560x1440,1423929.0
297,20210417_164447.jpg,xícara,flor,1,magenta,dia,externo,2560x1440,1291229.0
298,20210417_164448.jpg,xícara,flor,2,magenta,dia,externo,2560x1440,1382884.0
299,20210417_164449.jpg,xícara,flor,3,magenta,dia,externo,2560x1440,1390434.0
300,20210417_163259.jpg,óculos,óculos valentino,1,tijolo,dia,externo,2560x1440,1141802.0
301,20210417_163300(0).jpg,óculos,óculos valentino,2,tijolo,dia,externo,2560x1440,1139939.0
